season,episode,baker,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
8,4,Yan,8,IN,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
8,4,Tom,5,OUT,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake
8,4,Kate,6,STAR BAKER,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
8,4,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,4,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,4,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,5,Julia,3,IN,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
8,5,Kate,8,IN,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
8,5,Liam,2,IN,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
8,5,Stacey,4,IN,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
8,5,Steven,5,IN,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,6,IN,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
8,5,James,7,OUT,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
8,5,Sophie,1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,5,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,5,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,5,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,5,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,6,Kate,5,IN,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
8,6,Sophie,2,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
8,6,Stacey,6,IN,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
8,6,Steven,3,IN,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie
8,6,Yan,1,IN,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie
8,6,Julia,7,OUT,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
8,6,Liam,4,STAR BAKER,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
8,6,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,6,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,6,James,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
8,6,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,6,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,7,Kate,6,IN,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
8,7,Liam,2,IN,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
8,7,Sophie,3,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
8,7,Stacey,4,IN,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise
8,7,Yan,5,OUT,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle
8,7,Steven,1,STAR BAKER,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle
8,7,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,7,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,7,James,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
8,7,Julia,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
8,7,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,7,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,8,Kate,2,IN,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
8,8,Sophie,4,IN,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Steven,1,IN,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
8,8,Liam,5,OUT,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
8,8,Stacey,3,STAR BAKER,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
8,8,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,8,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,8,James,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
8,8,Julia,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
8,8,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,8,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,8,Yan,NA,NA,46,Laboratory research scientist,North London,NA,NA
8,9,Kate,4,IN,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
8,9,Steven,3,IN,34,Marketer,"Watford, Hertfordshire",Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece
8,9,Stacey,2,OUT,42,Former school teacher,"Radlett, Hertfordshire",'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece
8,9,Sophie,1,STAR BAKER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece
8,9,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,9,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,9,James,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
8,9,Julia,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
8,9,Liam,NA,NA,19,Student,North London,NA,NA
8,9,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,9,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,9,Yan,NA,NA,46,Laboratory research scientist,North London,NA,NA
8,10,Kate,3,Runner-up,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
8,10,Steven,1,Runner-up,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
8,10,Sophie,2,WINNER,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
8,10,Chris,NA,NA,50,Software developer,Bristol,NA,NA
8,10,Flo,NA,NA,71,Retired,Merseyside,NA,NA
8,10,James,NA,NA,46,Banker,"Brentwood, Essex",NA,NA
8,10,Julia,NA,NA,21,Aviation Broker,"Crawley, West Sussex",NA,NA
8,10,Liam,NA,NA,19,Student,North London,NA,NA
8,10,Peter,NA,NA,52,IT programme manager,"Southend, Essex",NA,NA
8,10,Stacey,NA,NA,42,Former school teacher,"Radlett, Hertfordshire",NA,NA
8,10,Tom,NA,NA,29,Architect,Edinburgh,NA,NA
8,10,Yan,NA,NA,46,Laboratory research scientist,North London,NA,NA
9,1,Antony,12,IN,30,Banker,London,NA,NA
9,1,Briony,2,IN,33,Full-time parent,Bristol,NA,NA
9,1,Dan,4,IN,36,Full-time parent,London,NA,NA
9,1,Jon,5,IN,47,Blood courier,Newport,NA,NA
9,1,Karen,6,IN,60,In-store sampling assistant,Wakefield,NA,NA
9,1,Kim-Joy,10,IN,27,Mental health specialist,Leeds,NA,NA
9,1,Luke,8,IN,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,1,Rahul,7,IN,30,Research scientist,Rotherham,NA,NA
9,1,Ruby,1,IN,29,Project manager,London,NA,NA
9,1,Terry,9,IN,56,Retired air steward,West Midlands,NA,NA
9,1,Imelda,11,OUT,33,Countryside recreation officer,County Tyrone,NA,NA
9,1,Manon,3,STAR BAKER,26,Software project manager,London,NA,NA
9,2,Antony,9,IN,30,Banker,London,NA,NA
9,2,Briony,5,IN,33,Full-time parent,Bristol,NA,NA
9,2,Dan,3,IN,36,Full-time parent,London,NA,NA
9,2,Jon,1,IN,47,Blood courier,Newport,NA,NA
9,2,Karen,11,IN,60,In-store sampling assistant,Wakefield,NA,NA
9,2,Kim-Joy,4,IN,27,Mental health specialist,Leeds,NA,NA
9,2,Manon,6,IN,26,Software project manager,London,NA,NA
9,2,Ruby,10,IN,29,Project manager,London,NA,NA
9,2,Terry,8,IN,56,Retired air steward,West Midlands,NA,NA
9,2,Luke,7,OUT,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,2,Rahul,2,STAR BAKER,30,Research scientist,Rotherham,NA,NA
9,2,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,3,Briony,9,IN,33,Full-time parent,Bristol,NA,NA
9,3,Dan,6,IN,36,Full-time parent,London,NA,NA
9,3,Jon,2,IN,47,Blood courier,Newport,NA,NA
9,3,Karen,5,IN,60,In-store sampling assistant,Wakefield,NA,NA
9,3,Kim-Joy,10,IN,27,Mental health specialist,Leeds,NA,NA
9,3,Manon,3,IN,26,Software project manager,London,NA,NA
9,3,Ruby,7,IN,29,Project manager,London,NA,NA
9,3,Terry,1,IN,56,Retired air steward,West Midlands,NA,NA
9,3,Antony,8,OUT,30,Banker,London,NA,NA
9,3,Rahul,4,STAR BAKER,30,Research scientist,Rotherham,NA,NA
9,3,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,3,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,4,Terry,NA,[a],56,Retired air steward,West Midlands,NA,NA
9,4,Briony,5,IN,33,Full-time parent,Bristol,NA,NA
9,4,Jon,3,IN,47,Blood courier,Newport,NA,NA
9,4,Karen,7,IN,60,In-store sampling assistant,Wakefield,NA,NA
9,4,Kim-Joy,6,IN,27,Mental health specialist,Leeds,NA,NA
9,4,Manon,8,IN,26,Software project manager,London,NA,NA
9,4,Rahul,4,IN,30,Research scientist,Rotherham,NA,NA
9,4,Ruby,2,IN,29,Project manager,London,NA,NA
9,4,Dan,1,STAR BAKER,36,Full-time parent,London,NA,NA
9,4,Antony,NA,NA,30,Banker,London,NA,NA
9,4,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
9,4,Luke,NA,NA,30,Civil servant/house and techno DJ,Sheffield,NA,NA
9,5,Briony,6,IN,33,Full-time parent,Bristol,NA,NA
9,5,Dan,2,IN,36,Full-time parent,London,NA,NA
9,5,Jon,7,IN,47,Blood courier,Newport,NA,NA
9,5,Manon,5,IN,26,Software project manager,London,NA,NA
9,5,Rahul,3,IN,30,Research scientist,Rotherham,NA,NA
9,5,Ruby,1,IN,29,Project manager,London,NA,NA
9,5,Karen,9,OUT,60,In-store sampling assistant,Wakefield,NA,NA
9,5,Terry,8,OUT,56,Retired air steward,West Midlands,NA,NA
9,5,Kim-Joy,4,STAR BAKER,27,Mental health specialist,Leeds,NA,NA
9,5,Antony,NA,NA,30,Banker,London,NA,NA
9,5,Imelda,NA,NA,33,Countryside recreation officer,County Tyrone,NA,NA
